iter	Passed	Remaining
216	335	1209
217	336	1205
218	336	1201
219	338	1199
220	339	1196
221	340	1192
222	341	1189
223	342	1185
224	342	1181
225	343	1177
226	344	1173
227	345	1169
228	346	1165
229	347	1162
230	348	1158
231	348	1155
232	349	1151
233	350	1147
234	351	1144
235	352	1140
236	353	1138
237	354	1135
238	355	1132
239	356	1129
240	357	1125
241	358	1122
242	359	1118
243	360	1115
244	361	1112
245	361	1109
246	362	1105
247	363	1102
248	364	1098
249	365	1095
250	365	1091
251	366	1088
252	367	1086
253	368	1083
254	369	1080
255	370	1077
256	371	1073
257	372	1070
258	373	1068
259	374	1066
260	375	1063
261	376	1061
262	377	1058
263	379	1057
264	380	1054
265	381	1051
266	382	1049
267	383	1048
268	384	1045
269	386	1043
270	387	1041
271	388	1038
272	389	1036
273	390	1033
274	391	1031
275	392	1028
276	393	1026
277	394	1023
278	395	1021
279	396	1018
280	397	1016
281	398	1013
282	399	1012
283	400	1009
284	401	1006
285	402	1004
286	403	1001
287	404	998
288	405	996
289	406	994
290	407	993
291	408	990
292	409	988
293	410	985
294	411	983
295	413	982
296	414	980
297	415	978
298	416	975
299	417	973
300	418	971
301	419	968
302	420	966
303	421	964
304	421	961
305	423	959
306	423	956
307	424	954
308	425	952
309	427	952
310	429	951
311	430	949
312	431	948
313	432	945
314	434	943
315	434	941
316	435	939
317	436	936
318	437	934
319	438	932
320	439	929
321	440	927
322	441	925
323	442	923
324	443	921
325	444	919
326	445	916
327	446	914
328	447	911
329	447	909
330	448	906
331	449	904
332	450	901
333	451	899
334	451	897
335	452	894
336	453	892
337	454	890
338	455	888
339	456	886
340	457	884
341	458	882
342	459	880
343	460	878
344	461	875
345	462	873
346	463	871
347	463	869
348	464	866
349	465	864
350	466	862
351	467	860
352	468	857
353	468	855
354	469	853
355	470	851
356	471	849
357	473	848
358	474	846
359	474	844
360	475	842
361	476	840
362	477	838
363	478	836
364	480	835
365	480	833
366	481	831
367	482	828
368	483	826
369	484	824
370	485	822
371	486	821
372	488	820
373	488	818
374	489	816
375	490	814
376	491	812
377	492	810
378	493	808
379	494	806
380	495	804
381	496	802
382	497	800
383	498	799
384	499	797
385	499	795
386	501	793
387	502	792
388	503	790
389	504	788
390	505	786
391	506	784
392	506	783
393	507	781
394	508	779
395	509	777
396	510	775
397	511	773
398	512	771
399	513	769
400	514	767
401	515	766
402	516	764
403	517	763
404	518	761
405	519	759
406	520	758
407	521	756
408	521	754
409	522	752
410	523	750
411	524	748
412	525	747
413	526	745
414	527	743
415	528	742
416	529	740
417	530	738
418	532	737
419	533	736
420	534	734
421	535	733
422	536	731
423	537	729
424	537	727
425	538	726
426	539	724
427	540	722
428	541	720
429	542	719
430	543	717
431	544	715
432	545	713
433	546	712
434	547	710
435	548	709
436	549	707
437	550	705
438	550	703
439	551	702
440	552	700
441	553	698
442	554	697
443	555	695
444	556	693
445	556	691
446	557	690
447	558	688
448	559	686
449	560	685
450	561	683
451	562	682
452	563	680
453	564	679
454	565	677
455	566	675
456	567	674
457	568	672
458	569	670
459	569	668
460	570	667
461	571	665
462	572	664
463	573	662
464	574	660
465	575	659
466	576	657
467	577	656
468	578	654
469	579	653
470	580	651
471	581	649
472	581	648
473	582	646
474	583	644
475	584	643
476	585	641
477	586	640
478	587	638
479	587	636
480	588	635
481	590	634
482	591	633
483	592	631
484	593	630
485	594	628
486	595	627
487	596	625
488	597	624
489	598	622
490	598	620
491	599	619
492	600	617
493	601	615
494	602	614
495	603	612
496	603	611
497	605	609
498	606	608
499	607	607
500	608	605
501	609	604
502	610	602
503	611	601
504	611	599
505	613	598
506	613	597
507	614	595
508	615	593
509	616	592
510	617	590
511	618	589
512	619	587
513	620	586
514	621	585
515	622	584
516	623	582
517	624	580
518	625	579
519	626	577
520	626	576
521	627	574
522	628	573
523	629	571
524	630	570
525	631	568
526	632	567
527	632	565
528	633	564
529	635	563
530	636	562
531	637	560
532	638	559
533	639	557
534	640	556
535	641	555
536	642	553
537	643	552
538	643	550
539	644	549
540	645	547
541	646	546
542	647	544
543	648	543
544	649	541
545	651	541
546	652	540
547	653	538
548	653	537
549	654	535
550	655	534
551	656	532
552	657	531
553	658	529
554	658	528
555	659	526
556	660	525
557	661	523
558	662	522
559	663	521
560	664	519
561	665	518
562	666	517
563	667	515
564	668	514
565	669	513
566	670	511
567	671	510
568	672	509
569	673	507
570	674	506
571	674	505
572	675	503
573	676	502
574	677	500
575	678	499
576	679	498
577	680	496
578	681	495
579	682	494
580	683	492
581	684	491
582	685	490
583	686	488
584	686	487
585	687	485
586	688	484
587	689	483
588	690	481
589	691	480
590	692	479
591	693	477
592	694	476
593	695	475
594	696	474
595	697	472
596	698	471
597	699	470
598	700	468
599	701	467
600	702	466
601	702	464
602	704	463
603	704	462
604	705	460
605	706	459
606	707	458
607	708	456
608	709	455
609	711	454
610	712	453
611	712	451
612	713	450
613	714	449
614	715	448
615	716	446
616	717	445
617	718	443
618	719	442
619	719	441
620	720	439
621	721	438
622	722	437
623	723	435
624	724	434
625	725	433
626	726	432
627	727	430
628	728	429
629	729	428
630	730	427
631	731	425
632	732	424
633	733	423
634	734	421
635	734	420
636	736	419
637	736	418
638	737	416
639	741	416
640	743	416
641	744	415
642	745	413
643	746	412
644	748	411
645	749	410
646	750	409
647	751	408
648	752	406
649	753	405
650	755	405
651	756	403
652	757	402
653	758	401
654	759	400
655	760	398
656	763	398
657	764	397
658	765	396
659	766	394
660	767	393
661	768	392
662	770	391
663	771	390
664	772	389
665	773	387
666	774	386
667	776	385
668	777	384
669	777	383
670	778	381
671	779	380
672	780	379
673	781	378
674	782	376
675	783	375
676	785	374
677	786	373
678	787	372
679	788	371
680	789	369
681	790	368
682	791	367
683	792	366
684	793	365
685	794	363
686	795	362
687	796	361
688	797	359
689	798	358
690	799	357
691	800	356
692	801	355
693	802	353
694	803	352
695	804	351
696	806	350
697	807	349
698	808	347
699	808	346
700	809	345
701	810	344
702	811	342
703	812	341
704	813	340
705	814	339
706	815	338
707	816	336
708	817	335
709	818	334
710	819	333
711	820	331
712	821	330
713	822	329
714	823	328
715	824	326
716	825	325
717	825	324
718	826	323
719	827	321
720	829	320
721	830	319
722	831	318
723	832	317
724	832	315
725	833	314
726	834	313
727	835	312
728	836	310
729	837	309
730	837	308
731	838	307
732	839	305
733	840	304
734	841	303
735	842	302
736	844	301
737	845	300
738	846	298
739	847	297
740	848	296
741	848	295
742	849	293
743	850	292
744	851	291
745	852	290
746	853	289
747	854	287
748	855	286
749	855	285
750	856	284
751	859	283
752	860	282
753	861	280
754	861	279
755	862	278
756	863	277
757	864	275
758	865	274
759	866	273
760	867	272
761	867	271
762	868	269
763	869	268
764	870	267
765	871	266
766	872	264
767	873	263
768	874	262
769	875	261
770	876	260
771	877	259
772	878	257
773	879	256
774	879	255
775	880	254
776	881	253
777	882	251
778	883	250
779	884	249
780	885	248
781	885	246
782	886	245
783	888	244
784	889	243
785	890	242
786	891	241
787	892	240
788	893	238
789	893	237
790	894	236
791	895	235
792	896	233
793	897	232
794	898	231
795	899	230
796	900	229
797	900	228
798	901	226
799	902	225
800	904	224
801	905	223
802	905	222
803	906	221
804	907	219
805	908	218
806	909	217
807	910	216
808	911	215
809	912	213
810	912	212
811	913	211
812	914	210
813	915	209
814	916	208
815	917	206
816	919	205
817	919	204
818	920	203
819	921	202
820	922	201
821	923	199
822	924	198
823	924	197
824	925	196
825	926	195
826	927	194
827	928	192
828	929	191
829	930	190
830	930	189
831	931	188
832	933	187
833	935	186
834	935	184
835	936	183
836	937	182
837	938	181
838	939	180
839	940	179
840	940	177
841	941	176
842	942	175
843	943	174
844	944	173
845	945	172
846	946	170
847	948	169
848	950	168
849	951	167
850	952	166
851	953	165
852	954	164
853	955	163
854	956	162
855	957	161
856	958	159
857	959	158
858	960	157
859	962	156
860	963	155
861	964	154
862	965	153
863	966	152
864	968	151
865	969	149
866	970	148
867	971	147
868	971	146
869	972	145
870	973	144
871	974	143
872	975	141
873	976	140
874	977	139
875	978	138
876	979	137
877	980	136
878	981	135
879	982	133
880	983	132
881	983	131
882	984	130
883	985	129
884	986	128
885	987	127
886	988	125
887	989	124
888	990	123
889	990	122
890	992	121
891	993	120
892	994	119
893	995	118
894	996	116
895	997	115
896	998	114
897	998	113
898	999	112
899	1000	111
900	1001	110
901	1002	108
902	1003	107
903	1004	106
904	1005	105
905	1006	104
906	1007	103
907	1008	102
908	1009	101
909	1010	99
910	1011	98
911	1012	97
912	1013	96
913	1013	95
914	1014	94
915	1015	93
916	1016	92
917	1017	90
918	1018	89
919	1019	88
920	1020	87
921	1020	86
922	1022	85
923	1023	84
924	1024	83
925	1025	81
926	1025	80
927	1026	79
928	1027	78
929	1028	77
930	1029	76
931	1030	75
932	1031	74
933	1032	72
934	1032	71
935	1033	70
936	1034	69
937	1035	68
938	1036	67
939	1038	66
940	1039	65
941	1039	64
942	1040	62
943	1041	61
944	1042	60
945	1043	59
946	1044	58
947	1045	57
948	1045	56
949	1046	55
950	1047	53
951	1048	52
952	1049	51
953	1050	50
954	1051	49
955	1052	48
956	1053	47
957	1054	46
958	1055	45
959	1056	44
960	1057	42
961	1058	41
962	1059	40
963	1059	39
964	1060	38
965	1061	37
966	1062	36
967	1063	35
968	1064	34
969	1065	32
970	1066	31
971	1067	30
972	1068	29
973	1069	28
974	1070	27
975	1071	26
976	1072	25
977	1073	24
978	1074	23
979	1075	21
980	1075	20
981	1076	19
982	1077	18
983	1078	17
984	1079	16
985	1080	15
986	1081	14
987	1082	13
988	1083	12
989	1084	10
990	1085	9
991	1085	8
992	1086	7
993	1087	6
994	1088	5
995	1089	4
996	1090	3
997	1091	2
998	1091	1
999	1092	0
